CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,HasCrCard,IsActiveMember,Geography,Gender,y_true,y_pred,p_churn
842,58,1,63492.94,1,83172.19,1,1,France,Male,0,1,0.5501475901235071
798,37,8,0.0,3,110783.28,0,0,France,Male,0,1,0.5190184137466002
844,56,5,99529.7,1,157230.06,0,1,Spain,Male,1,0,0.47736720230579444
649,52,8,49113.75,1,41858.43,1,0,France,Female,0,1,0.8519303920004401
682,41,6,0.0,2,134158.09,0,1,France,Male,1,0,0.156051671025541
600,57,9,138456.03,2,103548.25,1,1,Germany,Male,0,1,0.5494929559550781
560,41,4,152532.3,1,10779.69,0,0,Germany,Male,0,1,0.6292618153544963
625,36,3,0.0,2,41295.1,1,0,France,Female,1,0,0.20109361342609214
693,46,3,151709.33,1,180736.24,1,0,Spain,Female,0,1,0.7309203307508171
673,59,0,178058.06,2,21063.71,0,1,France,Male,1,0,0.4230057359055555
443,44,2,0.0,1,159165.7,1,0,France,Male,0,1,0.7384530702039402
638,36,6,188455.19,1,47031.4,0,0,France,Male,1,0,0.38937498881901067
687,35,3,99587.43,1,1713.1,1,1,France,Female,1,0,0.2309397007135305
582,50,2,148942.0,1,116944.3,1,1,France,Male,0,1,0.561909393490021
511,57,8,122950.31,1,181258.76,1,1,Spain,Female,0,1,0.5790219540557802
694,35,7,0.0,1,133570.43,1,0,Spain,Female,1,0,0.4756251303401451
684,48,10,126384.42,1,198129.36,1,1,Germany,Female,0,1,0.6081848658058098
708,44,2,161887.81,2,84870.23,1,0,France,Female,0,1,0.5502935231610432
544,64,3,124043.8,1,111402.97,1,1,France,Female,1,0,0.38289106523745803
629,31,6,0.0,1,16447.6,1,1,France,Female,1,0,0.24665058254891392
596,21,4,210433.08,2,197297.77,0,1,France,Male,1,0,0.24050988997334627
556,43,4,125890.72,1,74854.97,1,1,Germany,Female,0,1,0.768931798522274
678,41,1,143443.61,1,196622.28,1,0,France,Female,1,0,0.4515203626354065
754,39,8,129401.87,1,87684.93,1,1,Germany,Female,0,1,0.5704468571494811
670,41,10,0.0,3,81602.02,1,0,France,Female,0,1,0.784654231120676
616,57,7,116936.81,1,104379.36,1,1,Germany,Female,0,1,0.8060381183919724
516,50,7,139675.07,2,45591.23,1,0,Germany,Male,0,1,0.7621611744792826
685,43,1,132667.17,1,41876.98,1,1,France,Female,0,1,0.5439577999093007
646,50,6,145295.31,2,27814.74,1,1,Germany,Male,0,1,0.5257612728030074
493,48,7,0.0,2,48545.1,1,0,Spain,Female,0,1,0.5236762021691259
655,67,6,148363.38,1,186995.17,1,1,Germany,Male,0,1,0.5470795487226403
625,43,4,122351.29,1,71216.6,1,0,France,Male,0,1,0.6678441419413284
658,42,8,102870.93,1,103764.55,0,1,France,Male,1,0,0.4489046763981514
576,41,4,112609.91,1,191035.18,0,0,France,Female,1,0,0.48301323363013693
732,42,2,118889.66,2,87422.15,0,0,Germany,Female,0,1,0.5299334765965575
610,57,6,106938.11,2,186612.47,0,1,Germany,Male,0,1,0.5649749399403046
549,43,3,134985.66,1,6101.41,1,0,Germany,Female,0,1,0.872983063022307
677,58,1,90022.85,1,2988.28,0,1,France,Female,0,1,0.5433334268930305
477,24,2,95675.62,2,162699.7,0,0,Germany,Female,1,0,0.2157572573947424
460,40,6,119507.58,2,91560.63,1,0,Germany,Female,1,0,0.4568311465424785
741,60,5,0.0,1,38914.51,1,1,France,Female,0,1,0.6193643941555682
734,43,7,107805.67,1,182505.68,0,0,France,Male,0,1,0.5815750103609016
686,43,2,134896.03,1,97847.05,1,1,Germany,Male,0,1,0.7091883379541224
584,49,8,172713.44,1,113860.81,1,0,France,Male,0,1,0.8063941381657452
529,29,4,135759.4,1,112813.79,0,0,Germany,Male,1,0,0.4345913338145695
733,30,1,102452.71,1,21556.95,1,0,Germany,Female,0,1,0.6075229308803952
698,57,6,136325.48,2,72549.27,1,1,France,Male,1,0,0.3949459061499869
535,30,5,122924.75,1,62390.59,0,0,Spain,Female,1,0,0.35099202516190947
694,42,8,133767.19,1,36405.21,1,0,France,Male,0,1,0.5730284874064627
675,29,8,121326.42,1,133457.52,1,0,Germany,Female,0,1,0.590235622765963
649,41,4,115897.73,1,143544.48,1,0,Germany,Female,0,1,0.7013005183608189
606,37,6,82373.94,1,172526.9,0,0,France,Male,1,0,0.3016008393448216
779,71,3,0.0,2,146895.36,1,1,France,Male,1,0,0.10855837026211335
492,49,2,151249.45,2,167237.94,1,1,Germany,Female,0,1,0.6244767488102052
711,53,5,123805.03,1,102428.51,1,0,Germany,Female,0,1,0.9171106008167212
791,44,5,0.0,2,123977.86,1,1,France,Female,1,0,0.2729318875641292
632,40,9,139625.34,1,93702.96,1,0,France,Female,1,0,0.49944281490472275
658,44,2,168396.34,1,14178.73,1,1,France,Male,0,1,0.5027198682416331
640,47,6,89799.46,2,13783.77,0,1,France,Female,1,0,0.45468291535988486
685,50,6,94238.75,2,50664.07,1,1,France,Female,1,0,0.4328910426815435
536,35,8,0.0,1,171840.24,1,0,France,Female,1,0,0.45800926556119476
602,49,0,191808.73,1,97640.2,0,0,France,Male,0,1,0.7767521848776254
743,39,3,119695.75,1,26136.13,0,1,Germany,Male,0,1,0.5345038912436826
586,56,9,100781.75,2,54448.41,1,1,Germany,Female,0,1,0.6515006719211089
599,41,2,91328.71,1,115724.78,1,0,France,Female,0,1,0.5247394981344606
737,45,2,99169.67,2,78650.95,1,1,Germany,Female,0,1,0.5927344391157916
753,47,1,131160.85,1,197444.69,1,0,Germany,Female,0,1,0.8158977435914306
668,36,3,133686.52,1,190958.48,1,0,Spain,Female,1,0,0.3853364649416156
679,45,3,146758.24,1,48466.89,1,0,France,Male,0,1,0.6829840514021563
850,40,7,104449.8,1,747.88,1,1,Germany,Female,0,1,0.5419014166383008
800,49,7,108007.36,1,47125.11,0,0,France,Female,0,1,0.792439253678965
842,46,9,0.0,1,17268.02,0,0,Spain,Male,0,1,0.7660160418154178
591,44,10,113581.98,1,1985.41,1,0,Germany,Female,0,1,0.7729781509696202
601,39,3,72647.64,1,41777.9,1,0,France,Male,1,0,0.3487521356997323
674,45,6,72494.69,1,140041.78,0,1,France,Female,0,1,0.5801909588232878
656,43,7,134919.85,1,194691.95,1,0,France,Male,0,1,0.6289416849673513
495,47,10,137682.68,1,71071.47,1,0,France,Male,0,1,0.674988026284685
675,42,2,92616.64,2,8567.18,1,0,Germany,Male,0,1,0.5116775260059225
587,42,1,0.0,1,123006.91,0,0,France,Male,0,1,0.5993578628126551
778,33,9,151772.63,2,180249.94,0,0,France,Female,1,0,0.22343765773813673
502,45,0,0.0,1,84663.21,0,0,France,Male,0,1,0.6518213804072791
650,30,6,0.0,1,67997.13,0,0,Spain,Female,1,0,0.3759102776640076
676,34,8,82909.14,1,91817.38,1,0,France,Female,1,0,0.3147550474666827
588,35,3,104356.38,1,94498.82,1,0,Germany,Male,0,1,0.5329530610485737
656,34,6,59877.33,1,14032.62,1,0,Spain,Female,1,0,0.42492722131022226
718,63,7,123204.88,1,100538.8,1,1,Germany,Male,0,1,0.6891288890318837
651,41,1,90218.11,1,174337.68,1,0,Germany,Male,0,1,0.6052629097362645
824,49,8,133231.48,1,67885.37,1,1,Germany,Male,0,1,0.7488470298147804
578,38,4,113150.44,2,176712.59,1,0,Germany,Female,1,0,0.41872460776875575
693,36,8,178111.82,1,58719.63,0,0,France,Male,1,0,0.3460701135511944
597,42,4,64740.12,1,106841.12,1,1,France,Female,0,1,0.5719084458370031
756,38,6,119208.85,1,169763.89,1,0,Spain,Male,1,0,0.33854356666080665
792,40,7,0.0,1,141652.2,1,0,Spain,Female,0,1,0.5941106561806567
695,63,1,146202.93,1,126688.83,1,1,Spain,Male,1,0,0.3802349316163654
558,33,0,108477.49,1,109096.71,1,1,France,Male,1,0,0.16071087333812145
560,44,5,143244.97,1,98661.27,1,0,France,Female,0,1,0.7107422954930858
700,54,1,79415.67,1,139735.54,0,1,Spain,Male,0,1,0.538403867002491
607,36,8,143421.74,1,97879.02,1,0,Germany,Male,0,1,0.519010676763765
625,52,8,121161.57,1,48988.28,1,0,Spain,Male,0,1,0.7629387787674323
850,44,2,112755.34,2,158171.36,0,0,Germany,Male,0,1,0.5710244874670548
688,45,9,103399.87,1,129870.93,0,0,Germany,Male,0,1,0.8693731890195312
717,36,2,148061.89,1,179128.69,1,0,France,Male,1,0,0.30596986468795906
531,45,1,126495.57,2,164741.5,1,1,Spain,Female,0,1,0.509423060488994
699,51,2,92246.14,2,91346.03,0,1,Germany,Female,0,1,0.6050899905492053
732,36,9,0.0,1,3749.0,0,0,France,Female,1,0,0.3728764261861462
586,42,6,126704.49,2,41682.3,1,0,Germany,Male,0,1,0.5813115227488708
585,44,7,163867.86,1,112333.22,1,1,Germany,Male,0,1,0.5984676118477432
609,43,6,86053.52,2,113276.46,1,1,Spain,Female,1,0,0.3962470526394052
410,33,6,125789.69,1,66333.56,0,0,France,Male,1,0,0.24667072204455195
531,63,1,114715.71,1,24506.95,0,1,France,Female,1,0,0.41844489332944756
626,49,9,171787.84,2,187192.23,1,0,Germany,Male,0,1,0.6735118646124432
506,59,8,119152.1,2,170679.74,1,1,Germany,Male,0,1,0.5309636877322053
700,32,8,110923.15,2,161845.81,1,1,France,Female,1,0,0.1866180488126999
508,43,9,0.0,1,103726.71,1,0,France,Female,0,1,0.7177788307325463
720,37,8,156282.79,1,45985.52,1,0,Germany,Female,0,1,0.5095585757280915
521,49,2,127948.57,1,182765.14,1,1,Germany,Female,0,1,0.7952212959596477
688,39,0,0.0,2,53222.15,1,0,France,Female,1,0,0.23445594400330344
439,66,9,0.0,1,65535.56,1,0,France,Female,0,1,0.7900325864473804
642,40,6,129502.49,2,86099.23,0,1,Germany,Female,1,0,0.36723445927006265
549,36,6,139422.37,1,83983.39,0,0,Germany,Male,1,0,0.4585740210218264
712,45,6,112994.65,1,198398.68,0,0,Spain,Male,0,1,0.6152291664121309
663,46,2,141726.88,1,58257.23,1,1,Germany,Female,0,1,0.7716474203861865
510,38,4,0.0,1,118913.53,1,0,Spain,Female,1,0,0.4497380791330913
699,44,8,158697.61,1,107181.22,1,0,France,Male,0,1,0.6441333694421396
640,45,8,120591.19,1,195123.94,0,0,Germany,Male,0,1,0.838774688645156
567,40,7,122265.24,1,138552.74,1,0,Germany,Male,0,1,0.6754728494803854
757,47,3,130747.1,1,143829.54,1,0,France,Male,0,1,0.6908783436323122
455,40,1,0.0,3,129975.34,0,1,France,Male,0,1,0.7517398090890415
544,26,6,0.0,1,100200.4,1,0,France,Female,1,0,0.3512205248449205
608,42,8,131390.75,2,71178.09,1,0,Germany,Male,0,1,0.5897823355228938
712,42,1,87842.98,1,92223.59,0,0,France,Female,0,1,0.6002068747718656
657,36,8,188241.05,2,183058.51,0,0,Spain,Male,1,0,0.3040412611581481
775,30,5,0.0,1,193880.6,1,0,France,Female,1,0,0.3548446855652463
698,48,4,101238.24,2,177815.87,0,1,France,Male,1,0,0.40010056949617323
614,43,8,140733.74,1,166588.76,1,1,Germany,Male,0,1,0.705327467166728
725,43,2,165896.0,2,130795.52,1,0,France,Male,0,1,0.5084533334850412
666,59,8,152614.51,2,188782.3,1,1,Germany,Female,0,1,0.5595400793533628
704,44,9,153656.85,1,158742.81,1,0,Spain,Female,0,1,0.6671574764091537
669,42,1,103873.39,1,148611.52,1,0,Germany,Female,0,1,0.788259924116129
756,26,5,155143.52,1,135034.57,0,1,Germany,Female,1,0,0.33992357428162084
850,48,6,111962.99,1,111755.8,1,0,Germany,Female,0,1,0.884138314587158
631,33,4,123246.7,1,112687.57,0,0,Germany,Female,0,1,0.5930955757337896
827,47,8,143001.5,2,108977.5,1,0,Germany,Female,0,1,0.6712082727407025
608,40,8,121729.42,1,61164.45,0,0,Germany,Female,0,1,0.6955301678731176
619,38,1,0.0,1,112442.63,1,0,Spain,Female,1,0,0.41391324496482973
669,35,7,0.0,1,49108.23,1,1,France,Female,1,0,0.2879953601387345
492,45,9,170295.04,2,164741.81,0,0,Germany,Male,0,1,0.5734109437091209
609,45,4,89122.3,1,199256.98,1,1,Spain,Female,0,1,0.5491582061653857
623,42,1,149332.48,2,100834.22,1,0,Germany,Male,0,1,0.5817345102807726
727,43,2,97403.18,1,107415.02,1,1,Spain,Male,1,0,0.4569504356413602
671,48,9,116711.06,2,76373.38,0,0,Germany,Female,0,1,0.7632101046700106
754,57,2,101134.87,2,70954.41,1,1,Germany,Male,0,1,0.5552445063010492
850,32,0,116968.91,1,175094.62,0,0,Germany,Female,0,1,0.5821462663386995
587,37,6,104414.03,1,192026.02,1,0,Germany,Female,0,1,0.613357947181504
669,47,9,61196.54,1,58170.24,1,0,France,Female,0,1,0.7655044030945817
669,45,7,149364.58,1,173454.07,0,1,France,Male,0,1,0.5097262170638337
653,31,9,143321.97,1,83679.46,1,0,Germany,Male,0,1,0.5028407564005009
648,39,6,130694.89,2,153955.38,1,1,France,Female,1,0,0.27085927734833876
475,39,6,0.0,1,56999.9,1,1,France,Male,1,0,0.4080418256114614
690,40,9,77641.99,1,189051.59,0,0,France,Female,1,0,0.4832527341872025
591,40,1,86376.29,1,136767.16,0,1,Spain,Female,1,0,0.38746190147731824
714,55,9,180075.22,1,100127.71,1,1,Germany,Female,0,1,0.6028549727833504
706,23,5,0.0,1,164128.41,0,0,France,Female,1,0,0.3598898047424936
659,29,6,123192.12,1,56971.41,1,1,France,Male,1,0,0.15825967575222144
713,32,1,117094.02,1,149558.83,0,0,France,Female,1,0,0.3038598228732192
697,43,7,115371.94,2,64139.1,1,0,Germany,Male,0,1,0.677150226636285
824,26,7,146266.0,1,21903.62,1,0,France,Male,1,0,0.28480625024690975
674,36,6,100762.64,1,182156.86,1,0,Germany,Female,0,1,0.5698715650073447
501,40,5,114655.58,1,126535.92,0,0,Germany,Male,0,1,0.6472950486580302
604,43,2,145081.72,1,23881.62,1,1,Spain,Male,0,1,0.5056530285794062
785,39,1,130147.98,1,163798.41,1,0,France,Female,1,0,0.39713006139728013
512,36,4,152169.12,2,38629.3,0,0,France,Male,1,0,0.22204094969008503
628,45,6,53667.44,1,115022.94,1,0,Germany,Female,0,1,0.6599294427472688
500,45,2,109162.82,1,126145.08,1,1,France,Male,0,1,0.5502315326636441
654,40,6,0.0,1,183872.88,0,0,France,Male,1,0,0.465087410434554
655,44,8,87471.63,1,188593.98,0,1,France,Male,0,1,0.5354816479374724
711,52,8,145262.54,1,131473.31,0,1,Germany,Female,0,1,0.7804996560617119
707,40,1,0.0,2,14090.4,1,0,France,Male,1,0,0.14098477227913447
706,54,9,117444.51,1,186238.85,1,1,France,Male,0,1,0.5024249642537811
580,38,9,115442.19,2,128481.5,1,0,Germany,Male,1,0,0.3938160612865512
682,58,4,0.0,1,176036.01,1,0,Spain,Female,0,1,0.8696733830561169
588,36,2,0.0,2,92536.0,1,0,France,Female,1,0,0.21108561872652312
634,45,2,0.0,1,143458.31,1,1,France,Female,0,1,0.6702837923831231
838,40,6,61671.19,1,150659.35,0,1,Spain,Female,1,0,0.36226863956058036
793,56,8,119496.25,2,29880.99,1,0,France,Male,0,1,0.6300596035105519
586,60,3,47020.65,2,63241.21,0,1,France,Female,1,0,0.412921766687053
556,47,2,139914.27,1,50390.98,1,1,France,Female,0,1,0.6092097063999692
603,45,9,0.0,1,148516.79,0,0,France,Male,0,1,0.7251445044031125
422,54,3,140014.42,1,86350.97,0,1,France,Male,0,1,0.5542688531829868
682,46,2,0.0,1,114442.66,1,1,France,Female,0,1,0.6338611001926395
435,44,3,151739.65,1,167461.5,1,0,Germany,Male,0,1,0.7830478853181976
806,48,4,164701.68,1,21439.49,1,1,France,Male,0,1,0.5061050050943546
656,45,5,127864.4,1,87107.57,1,0,France,Male,0,1,0.678656134103416
673,38,2,170061.92,2,134901.34,0,0,France,Female,1,0,0.3289484389206239
738,40,6,114940.67,2,194895.57,1,1,Germany,Female,1,0,0.3704591704402388
686,43,5,154846.24,2,151903.6,1,1,Germany,Female,0,1,0.5098387444786086
516,27,9,0.0,1,142680.64,1,0,France,Male,1,0,0.3219749570648842
742,36,2,129748.54,2,47271.61,0,0,Germany,Female,1,0,0.3575258828587054
833,32,6,0.0,1,44323.22,1,1,Spain,Male,1,0,0.19739226254166473
562,45,6,136855.24,1,46864.0,1,0,France,Male,0,1,0.7052159068985193
799,31,9,154586.92,1,88604.89,0,1,Germany,Male,1,0,0.3577506794541162
589,59,2,0.0,2,126160.24,1,1,France,Female,1,0,0.3490528185800602
648,53,6,111201.41,1,121542.29,1,1,Spain,Female,0,1,0.5545282767678265
777,30,4,137851.31,1,5008.23,1,0,France,Female,1,0,0.2681460586934633
619,41,5,92467.58,1,38270.47,1,0,Germany,Female,0,1,0.6420187582579109
692,33,9,0.0,1,113505.93,1,0,France,Male,1,0,0.3516858303912376
608,63,3,139529.93,2,175696.16,1,1,Spain,Female,1,0,0.39981791259810023
689,45,0,130170.82,2,150856.38,1,0,Germany,Male,0,1,0.7111579296543222
677,42,5,99580.13,1,21007.96,1,0,France,Male,0,1,0.6001355084317337
655,37,9,121342.24,1,180241.44,1,1,Germany,Male,0,1,0.5138747166297143
459,42,6,129634.25,2,177683.02,1,1,Spain,Female,1,0,0.40721754070397814
601,47,1,142802.02,1,57553.02,1,1,Germany,Female,0,1,0.7893796389975278
564,33,3,109341.87,1,75632.78,1,0,Germany,Male,0,1,0.5325738467594239
521,41,8,120586.54,1,20491.15,0,1,Germany,Male,0,1,0.6430620065411035
638,48,10,138333.03,1,47679.14,1,1,France,Female,0,1,0.591539195467072
529,38,7,99842.5,2,90256.06,1,0,Spain,Male,1,0,0.2433506541094107
709,36,7,0.0,1,42085.58,0,1,France,Female,1,0,0.33426043845396597
727,36,6,140418.81,1,113033.73,1,1,Germany,Male,1,0,0.3913311178396837
407,37,1,0.0,1,49161.12,1,1,Spain,Male,1,0,0.4511357292991583
734,51,1,118537.47,1,116912.45,1,1,France,Male,0,1,0.5262490645502848
713,47,1,95994.98,1,197529.23,1,0,Germany,Male,0,1,0.7325018105300776
850,33,10,0.0,1,4861.72,1,0,France,Male,1,0,0.3088828358127135
686,43,0,0.0,1,170072.9,1,1,France,Female,0,1,0.6013018922381185
504,43,5,134740.19,2,181430.91,1,0,Germany,Male,0,1,0.6128350648900033
581,38,3,135157.05,1,32919.42,1,1,Germany,Female,0,1,0.5778497359445709
599,33,4,51690.89,1,111622.76,1,0,Spain,Male,1,0,0.3784292996122979
591,58,5,128468.69,1,137254.55,0,1,Spain,Male,0,1,0.5129592688239857
579,33,6,0.0,1,94993.04,1,0,Spain,Male,1,0,0.3776567127514582
835,45,3,100212.13,1,152577.62,1,0,Spain,Male,0,1,0.6538680202919237
479,33,2,208165.53,1,50774.81,0,0,France,Female,1,0,0.4353858726674799
433,49,10,0.0,1,87711.61,1,1,France,Female,0,1,0.6597763846602839
702,43,6,116121.67,1,61602.42,1,0,Spain,Male,0,1,0.6119687881066054
674,18,7,0.0,2,55753.12,1,1,France,Male,1,0,0.08215530871238673
556,42,0,115915.53,2,125435.47,0,1,Germany,Male,1,0,0.43108882221766637
578,50,5,151215.34,2,169804.4,1,0,France,Male,0,1,0.6666267405594352
785,38,9,107199.75,1,146398.51,0,0,Germany,Female,0,1,0.6038288661658868
598,56,4,98365.33,1,44251.33,1,1,Spain,Female,0,1,0.5254983345832429
842,37,4,132446.08,2,87071.18,1,0,France,Female,1,0,0.29406449022797093
581,31,6,116891.72,1,107137.3,1,0,Germany,Male,0,1,0.511176055696548
758,51,8,81710.46,1,116520.07,1,1,France,Male,0,1,0.5079881997292218
749,40,1,139290.41,1,182855.42,1,0,France,Male,1,0,0.3943062740167819
692,53,7,150926.99,2,119817.19,0,0,Germany,Male,0,1,0.7703790059584193
604,56,0,62732.65,1,124954.56,0,1,France,Female,0,1,0.6573585029906536
618,44,5,157955.83,2,139297.71,0,0,Germany,Male,0,1,0.6113701163088933
593,45,6,79259.75,1,55347.28,1,0,Spain,Female,0,1,0.7365698593344966
780,37,10,95196.26,1,126310.39,1,0,Germany,Female,1,0,0.4572340700677168
657,44,6,76495.04,1,79071.89,1,0,France,Male,0,1,0.6662783884831364
631,37,8,138292.64,2,152422.91,0,0,Germany,Male,1,0,0.31490723982139557
786,33,0,83036.05,1,154990.58,0,1,France,Female,1,0,0.22299133101611787
610,46,5,116886.59,1,107973.44,0,0,Spain,Female,0,1,0.7155664338142326
574,33,3,129834.67,1,193131.42,1,0,Germany,Male,0,1,0.5032139727541403
773,51,8,116197.65,2,86701.4,1,1,Germany,Male,0,1,0.5643806928804742
625,49,2,80816.45,1,20018.79,1,1,Spain,Female,0,1,0.5831096000482247
594,61,3,62391.22,1,192434.11,1,1,France,Male,0,1,0.5786509180657969
644,37,6,117271.8,2,104217.96,1,0,France,Male,1,0,0.2270935030642854
617,37,4,116471.43,2,175324.74,1,0,Germany,Female,1,0,0.40787614671762773
608,28,4,0.0,2,10899.63,1,0,Spain,Female,1,0,0.1498188050116497
742,21,1,114292.48,1,31520.4,1,0,Germany,Female,0,1,0.6108819711366248
571,49,4,180614.04,1,523.0,0,0,France,Male,0,1,0.7392985028730082
777,42,5,147531.82,1,38819.45,1,1,France,Female,0,1,0.5018615528452179
589,19,9,83495.11,1,143022.31,1,1,Germany,Female,1,0,0.2314197896907019
682,46,4,0.0,1,4654.28,1,1,Spain,Male,0,1,0.5153041365294552
582,50,6,96486.57,2,20344.02,1,1,Germany,Female,0,1,0.6455091022893287
769,51,9,156773.78,2,40257.79,1,0,France,Male,0,1,0.6098206198307892
607,33,2,108431.87,2,109291.39,0,1,Spain,Female,1,0,0.20489777307304463
447,44,5,89188.83,1,75408.24,1,1,France,Female,0,1,0.552506294493315
631,51,8,100654.8,1,171587.9,1,0,France,Male,0,1,0.7984306593779089
568,36,10,153610.61,1,54083.8,1,1,Spain,Female,1,0,0.24850998712054032
706,44,2,185932.18,2,65413.41,1,0,Germany,Female,0,1,0.5399376180840179
691,50,6,136953.47,1,2704.98,1,1,France,Male,0,1,0.5201346677016553
704,45,6,0.0,1,137739.45,1,1,France,Female,0,1,0.5920679048318382
735,41,7,74135.85,1,11783.1,1,1,France,Male,1,0,0.33307145482262235
732,69,9,137453.43,1,110932.24,0,1,Spain,Female,1,0,0.26376974307043954
625,45,7,137555.44,1,124607.7,0,0,France,Male,0,1,0.6672094971773862
618,40,0,0.0,1,119059.13,1,0,France,Female,0,1,0.5059102524631828
704,27,5,147004.34,1,64381.33,1,0,Germany,Male,1,0,0.4519677924654703
663,36,6,77253.5,1,35817.97,0,0,Germany,Female,1,0,0.39177067560936363
621,47,7,107363.29,1,66799.28,1,1,Germany,Male,0,1,0.7739460494370168
791,35,5,129828.58,1,181918.26,1,1,Germany,Male,1,0,0.4496187338958146
631,33,7,0.0,1,58043.02,1,1,France,Male,1,0,0.23436975572164268
644,18,7,0.0,1,59645.24,0,1,Spain,Male,1,0,0.23341396586274024
578,46,5,113226.47,1,56770.76,1,0,France,Male,0,1,0.7066853845814219
593,50,6,171740.69,1,20893.61,0,0,France,Male,0,1,0.8144123811160893
663,22,9,0.0,1,29135.89,1,0,Spain,Female,1,0,0.3855968781083728
785,38,1,0.0,1,134964.85,1,0,France,Female,1,0,0.42176379076517606
611,43,8,64897.75,1,114996.33,1,0,France,Female,0,1,0.683071198674485
600,46,10,95502.21,1,19842.18,0,0,France,Male,0,1,0.6276651898609299
527,29,2,27755.97,1,97468.44,1,0,Spain,Female,1,0,0.4051085927993841
479,48,5,87070.23,1,85646.41,0,1,Spain,Male,0,1,0.5065837063798274
717,35,5,103214.71,1,172172.7,1,0,Germany,Female,0,1,0.6017383779644728
561,49,5,94754.0,1,26691.31,1,1,Germany,Male,0,1,0.7101128825903544
